recipe,difficulty,page,minutes,section,video_title,video_date,video_src,video_thumbnail
Cinnamon Sugar Palmiers,2.928571429,136,60,Bars and Cookies,Claire Saffitz Makes Rough Puff Pastry | Dessert Person,"Aug 12, 2021",https://www.youtube.com/watch?v=EvGGgOJbcGA,https://i.ytimg.com/vi/EvGGgOJbcGA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDkt-o2w7ZUyyGmDiY_f74eB4TsNQ
Clam And Fennel Pizza With Gemolata,3.375,285,106,Breads and Savory Baking,,,,
Classic Birthday Cake,2.428571429,169,134,Layer Cakes and Fancy Desserts,How To Make The Perfect BIRTHDAY CAKE | Dessert Person,"Jul 22, 2021",https://www.youtube.com/watch?v=VPmGOVib05o,https://i.ytimg.com/vi/VPmGOVib05o/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC8N0ltBDBGsqyEawOtjeZAfcGyxA
Classic English Muffins,2.857142857,227,480,Breakfast and Brunch,Claire Saffitz Makes Classic English Muffins | Dessert Person,"Apr 15, 2021",https://www.youtube.com/watch?v=9YaXLdVW7uQ,https://i.ytimg.com/vi/9YaXLdVW7uQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCQnmcSKJsdG1K_vEZcF5ugganS0Q
Coconut Thumbprints,3.6875,149,132,Bars and Cookies,,,,
Coffee Coffee Cake,2.857142857,219,90,Breakfast and Brunch,Claire Saffitz Makes Coffee Coffee Cake | Dessert Person,"Jan 14, 2021",https://www.youtube.com/watch?v=HE1RqKSa1z8,https://i.ytimg.com/vi/HE1RqKSa1z8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC-YkrcdCf55YeKDXWWQma53xw8pA
Confetti Cake,2.571428571,171,150,Layer Cakes and Fancy Desserts,Claire Saffitz Makes Confetti Cake | Dessert Person,"Feb 4, 2021",https://www.youtube.com/watch?v=xidcMKR8ikM,https://i.ytimg.com/vi/xidcMKR8ikM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAOIkI-HnC619eLdoOpb-lYJ14-vA
Cranberry-Pomegranate Mousse Pie,2.571428571,79,255,Pies and Tarts,,,,
Creamy Greens Pie With Baked Eggs,3.25,282,127,Breads and Savory Baking,Creamed Spinach Pie & Baked Eggs With Claire Saffitz | Dessert Person,"Jun 9, 2022",https://www.youtube.com/watch?v=svgBpVZKel4,https://i.ytimg.com/vi/svgBpVZKel4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCPprtbvL_OOahgXJhaWNCZUjgtgw
Crispy Mushroom Galette,2.928571429,280,120,Breads and Savory Baking,,,,
